household_key,Times_since_last_purchase
1,8.291139240506329
2,12.555555555555555
3,12.826086956521738
4,17.433333333333334
5,18.727272727272727
6,2.665158371040724
7,11.627118644067796
8,6.223300970873787
9,29.25
10,114.2
11,60.4
12,61.714285714285715
13,2.9950738916256157
14,7.142857142857143
15,14.229166666666666
16,6.5777777777777775
17,6.584158415841584
18,4.674242424242424
19,2.1554054054054053
20,2.1140939597315436
21,26.52173913043478
22,5.764705882352941
23,6.02
24,9.558823529411764
25,8.069767441860465
26,6.485148514851486
27,1.7789473684210526
28,4.891666666666667
29,11.440677966101696
30,28.818181818181817
31,9.698412698412698
32,6.245283018867925
33,13.065217391304348
34,20.735294117647058
35,14.291666666666666
36,3.4065934065934065
37,11.125
38,16.62962962962963
39,11.767857142857142
40,2.0957095709570956
41,9.085714285714285
42,7.011494252873563
43,6.611111111111111
44,18.862068965517242
45,8.854545454545455
46,5.957264957264957
47,5.930693069306931
48,13.266666666666667
49,5.935185185185185
50,37.46666666666667
51,8.923076923076923
52,5.5396825396825395
53,12.173076923076923
54,41.90909090909091
55,4.711111111111111
56,3.386740331491713
57,4.211538461538462
58,2.739130434782609
59,16.236842105263158
60,75.75
61,56.09090909090909
62,21.535714285714285
63,20.833333333333332
64,3.3701923076923075
65,6.546391752577319
66,24.652173913043477
67,3.2063492063492065
68,2.2540192926045015
69,4.222972972972973
70,21.78125
71,7.623529411764705
72,6.262626262626263
73,4.568181818181818
74,5.148760330578512
75,10.508474576271187
76,44.46666666666667
77,8.19767441860465
78,3.2010309278350517
79,4.522388059701493
80,7.541176470588235
81,5.529411764705882
82,12.294117647058824
83,6.979166666666667
84,13.5625
85,2.8285714285714287
86,16.805555555555557
87,13.822222222222223
88,3.412087912087912
89,48.0
90,65.33333333333333
91,4.33112582781457
92,10.981818181818182
93,5.376237623762377
94,17.457142857142856
95,2.5450819672131146
96,14.020408163265307
97,4.0426829268292686
98,4.515923566878981
99,3.261780104712042
100,24.464285714285715
101,3.6319018404907975
102,16.375
103,15.073170731707316
104,5.208695652173913
105,5.4
106,10.839285714285714
107,18.666666666666668
108,11.634615384615385
109,5.871287128712871
110,4.264900662251655
111,14.340425531914894
112,9.371428571428572
113,3.386740331491713
114,8.057471264367816
115,4.054545454545455
116,8.3125
