TRANS_DATE,SALES_VALUE
2012-01,1850.2493333333334
2012-02,3960.5486206896553
2012-03,7129.6612903225805
2012-04,10596.928666666667
2012-05,11413.28064516129
2012-06,11888.529666666667
2012-07,11570.382903225805
2012-08,11736.49870967742
2012-09,12338.359666666665
2012-10,12183.776129032258
2012-11,12554.381
2012-12,12230.702903225805
2013-01,12330.989677419355
2013-02,12860.512857142856
2013-03,12818.992258064516
2013-04,12472.149666666666
2013-05,12799.419032258063
2013-06,12292.076000000001
2013-07,11987.01064516129
2013-08,13168.931612903227
2013-09,12880.628666666666
2013-10,13352.260967741937
2013-11,13552.221333333333
2013-12,12113.998333333335
